序号,你是否完成了实验一的Bonus部分？,你是否认为额外实验的工作是对能力有提升的？,你对于这种安排的满意度如何？,提交人,修改人,提交时间,修改时间,填写时长,填写设备,操作系统,浏览器,填写地区,IP
"1","否","是","2","","","2023-11-08 09:00:51","2023-11-08 09:00:51","34秒","Android","Android 10","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","111.194.239.45"
"2","是","是","3","","","2023-11-08 09:01:25","2023-11-08 09:01:25","1分1秒","iPhone","iOS 16.1","Wechat Browser 8.0.42(0x18002a32)","北京市","124.64.18.153"
"3","是","否","3","","","2023-11-08 09:02:27","2023-11-08 09:02:27","31秒","Android","Android 12","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","124.64.22.205"
"4","是","否","1","","","2023-11-08 09:02:56","2023-11-08 09:02:56","32秒","Android","Android 13","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","124.127.78.24"
"5","是","否","2","","","2023-11-08 09:03:01","2023-11-08 09:03:01","19秒","Android","Android 12","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","223.72.85.130"
"6","是","否","2","","","2023-11-08 09:03:35","2023-11-08 09:03:35","27秒","Android","Android 13","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","124.127.65.4"
"7","否","否","3","","","2023-11-08 09:03:52","2023-11-08 09:03:52","23秒","Android","Android 10","Wechat Browser 8.0.42.2460(0x28002A92)","北京市","223.72.61.229"
"8","否","否","2","","","2023-11-08 09:03:53","2023-11-08 09:03:53","27秒","Android","Android 13","Wechat Browser 8.0.40.2420(0x28002858)","北京市","1.202.122.217"
"9","否","否","2","","","2023-11-08 09:04:38","2023-11-08 09:04:38","1分46秒","iPhone","iOS 16.6.1","Wechat Browser 8.0.32(0x18002038)","北京市","223.104.40.126"
"10","否","否","2","","","2023-11-08 09:05:40","2023-11-08 09:05:40","28秒","iPhone","iOS 16.0","Wechat Browser 8.0.43(0x18002b29)","北京市","222.129.134.28"
"11","否","否","2","","","2023-11-08 09:10:15","2023-11-08 09:10:15","2分","Android","Android 13","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","1.202.120.236"
"12","是","是","5","","","2023-11-08 09:17:32","2023-11-08 09:17:32","14秒","Android","Android 13","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","223.104.39.250"
"13","是","是","2","","","2023-11-08 09:27:16","2023-11-08 09:27:16","40秒","Android","Android 9","Wechat Browser 8.0.27.2220(0x28001B37)","北京市","223.104.39.106"
"14","否","否","2","","","2023-11-08 09:32:07","2023-11-08 09:32:07","1分21秒","Android","Android 12","Wechat Browser 8.0.42.2460(0x28002A92)","北京市","223.104.41.240"
"15","是","否","1","zzx","","2023-11-08 10:33:53","2023-11-08 10:33:53","37秒","Android","Android 11","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","124.64.18.49"
"16","否","否","1","","","2023-11-08 10:46:06","2023-11-08 10:46:06","16秒","iPhone","iOS 16.0","Wechat Browser 8.0.43(0x18002b29)","北京市","222.129.134.28"
"17","是","是","1","","","2023-11-08 10:50:15","2023-11-08 10:50:15","35秒","Android","Android 12","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","223.104.40.120"
"18","是","否","3","","","2023-11-08 10:51:04","2023-11-08 10:51:04","17秒","iPhone","iOS 16.6.1","Wechat Browser 8.0.43(0x18002b29)","北京市","124.127.64.189"
"19","否","否","2","","","2023-11-08 10:57:22","2023-11-08 10:57:22","29秒","iPhone","iOS 16.6","Wechat Browser 8.0.43(0x18002b29)","北京市","223.104.40.148"
"20","是","其他: 都当数据集了我整个噪声不过分吧（","3","","","2023-11-08 11:02:59","2023-11-08 11:02:59","1分53秒","Windows NT 10.0","Windows 10","Wechat Browser 7.0.20.1781(0x6700143B)","北京市","223.72.83.92"
"21","否","否","1","","","2023-11-08 11:37:27","2023-11-08 11:37:27","1分30秒","Android","Android 10","Wechat Browser 8.0.30.2260(0x28001E55)","北京市","221.221.236.3"
"22","是","否","1","","","2023-11-08 13:58:59","2023-11-08 13:58:59","22秒","iPhone","iOS 16.6","Wechat Browser 8.0.43(0x18002b29)","北京市","114.242.250.34"
"24","否","否","1","","","2023-11-12 18:21:49","2023-11-12 18:21:49","8秒","Android","Android 10","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","114.254.9.20"
"25","否","否","2","","","2023-11-12 18:32:30","2023-11-12 18:32:30","1分29秒","Android","Android 13","Wechat Browser 8.0.42.2460(0x28002A58)","北京市","114.253.205.29"
